"","DEP","typequ","nb_2012","nb_2017","2012","2017"
"216","30","D107",6,5,3.37789260864537e-05,2.81491050720447e-05
"217","30","D109",9,18,1.22749423418681e-05,2.45498846837361e-05
"218","31","D101",30,23,2.31024779717873e-05,1.77118997783702e-05
"219","31","D102",36,34,2.77229735661447e-05,2.61828083680256e-05
"220","31","D103",8,7,6.1606607924766e-06,5.39057819341703e-06
"221","31","D104",46,48,3.54237995567405e-05,3.69639647548596e-05
"222","31","D106",10,9,7.70082599059575e-06,6.93074339153618e-06
"223","31","D107",9,7,2.57282279832739e-05,2.00108439869908e-05
"224","31","D109",52,40,4.00442951510979e-05,3.0803303962383e-05
"225","32","D101",9,8,4.72997119973092e-05,4.20441884420526e-05
"226","32","D102",12,11,6.30662826630789e-05,5.78107591078223e-05
"227","32","D103",5,5,2.62776177762829e-05,2.62776177762829e-05
"228","32","D104",4,4,2.10220942210263e-05,2.10220942210263e-05
"229","32","D106",2,3,1.05110471105131e-05,1.57665706657697e-05
"230","32","D107",1,1,2.34235609567938e-05,2.34235609567938e-05
"231","32","D109",15,13,7.88328533288486e-05,6.83218062183355e-05
"232","33","D101",38,32,2.52404987788248e-05,2.12551568663788e-05
"233","33","D102",33,34,2.19193805184531e-05,2.25836041705275e-05
"234","33","D103",5,5,3.32111826037169e-06,3.32111826037169e-06
"235","33","D104",59,58,3.91891954723859e-05,3.85249718203116e-05
"236","33","D106",15,15,9.96335478111506e-06,9.96335478111506e-06
"237","33","D107",12,11,3.02932327981672e-05,2.77687967316532e-05
"238","33","D109",26,35,1.72698149539328e-05,2.32478278226018e-05
"239","34","D101",36,29,3.29570432405562e-05,2.65487292771147e-05
"240","34","D102",34,31,3.11260963938586e-05,2.83796761238123e-05
"241","34","D103",9,9,8.23926081013905e-06,8.23926081013905e-06
"242","34","D104",18,28,1.64785216202781e-05,2.56332558537659e-05
"243","34","D106",12,16,1.09856810801854e-05,1.46475747735805e-05
"244","34","D107",8,8,2.95035107115142e-05,2.95035107115142e-05
"245","34","D109",32,35,2.92951495471611e-05,3.20415698172074e-05
"246","35","D101",27,21,2.64725866560515e-05,2.05897896213734e-05
"247","35","D102",29,29,2.84335190009442e-05,2.84335190009442e-05
"248","35","D103",8,9,7.84372937957081e-06,8.82419555201716e-06
"249","35","D104",62,64,6.07889026916738e-05,6.27498350365665e-05
"250","35","D106",9,8,8.82419555201716e-06,7.84372937957081e-06
"251","35","D107",8,7,3.12278717493154e-05,2.7324387780651e-05
"252","35","D109",50,11,4.90233086223176e-05,1.07851278969099e-05
"253","36","D101",5,5,2.19210753602729e-05,2.19210753602729e-05
"254","36","D102",9,10,3.94579356484912e-05,4.38421507205457e-05
"255","36","D103",4,4,1.75368602882183e-05,1.75368602882183e-05
"256","36","D104",7,4,3.0689505504382e-05,1.75368602882183e-05
"257","36","D106",3,4,1.31526452161637e-05,1.75368602882183e-05
"258","36","D107",2,2,3.87113211631533e-05,3.87113211631533e-05
"259","36","D109",4,4,1.75368602882183e-05,1.75368602882183e-05
"260","37","D101",13,13,2.16575704870621e-05,2.16575704870621e-05
"261","37","D102",15,15,2.49895044081486e-05,2.49895044081486e-05
"262","37","D103",2,2,3.33193392108648e-06,3.33193392108648e-06
"263","37","D104",12,10,1.99916035265189e-05,1.66596696054324e-05
"264","37","D106",7,9,1.16617687238027e-05,1.49937026448891e-05
"265","37","D107",3,3,1.9519738661126e-05,1.9519738661126e-05
"266","37","D109",3,3,4.99790088162972e-06,4.99790088162972e-06
"267","38","D101",22,19,1.78081848036283e-05,1.53797959667699e-05
"268","38","D102",24,23,1.94271106948673e-05,1.86176477492478e-05
"269","38","D103",10,10,8.0946294561947e-06,8.0946294561947e-06
"270","38","D104",27,28,2.18554995317257e-05,2.26649624773452e-05
"271","38","D106",9,12,7.28516651057523e-06,9.71355534743364e-06
"272","38","D107",8,8,2.57094325756407e-05,2.57094325756407e-05
"273","38","D109",115,114,9.3088238746239e-05,9.22787758006196e-05
"274","39","D101",11,9,4.22261633307998e-05,3.45486790888362e-05
"275","39","D102",19,12,7.29361002986541e-05,4.60649054517816e-05
"276","39","D103",4,4,1.53549684839272e-05,1.53549684839272e-05
"277","39","D104",16,17,6.14198739357088e-05,6.52586160566906e-05
"278","39","D106",5,5,1.9193710604909e-05,1.9193710604909e-05
"279","39","D107",3,3,4.98818955144489e-05,4.98818955144489e-05
"280","39","D109",9,8,3.45486790888362e-05,3.07099369678544e-05
"281","40","D101",7,7,1.7622210026534e-05,1.7622210026534e-05
"282","40","D102",14,12,3.5244420053068e-05,3.02095029026297e-05
"283","40","D103",6,5,1.51047514513149e-05,1.25872928760957e-05
"284","40","D104",7,11,1.7622210026534e-05,2.76920443274106e-05
"285","40","D106",6,8,1.51047514513149e-05,2.01396686017532e-05
"286","40","D107",2,2,2.04429127630083e-05,2.04429127630083e-05
"287","40","D109",2,18,5.03491715043829e-06,4.53142543539446e-05
"288","41","D101",8,6,2.40963129629128e-05,1.80722347221846e-05
"289","41","D102",12,11,3.61444694443692e-05,3.31324303240051e-05
"290","41","D103",2,2,6.02407824072819e-06,6.02407824072819e-06
"291","41","D104",8,8,2.40963129629128e-05,2.40963129629128e-05
"292","41","D106",3,3,9.03611736109229e-06,9.03611736109229e-06
"293","41","D107",4,4,5.1347968784805e-05,5.1347968784805e-05
"294","41","D109",2,2,6.02407824072819e-06,6.02407824072819e-06
"295","42","D101",20,17,2.64300297998586e-05,2.24655253298798e-05
"296","42","D102",25,26,3.30375372498233e-05,3.43590387398162e-05
"297","42","D103",8,7,1.05720119199434e-05,9.25051042995051e-06
"298","42","D104",17,15,2.24655253298798e-05,1.9822522349894e-05
"299","42","D106",11,10,1.45365163899222e-05,1.32150148999293e-05
"300","42","D107",6,6,3.37131059138942e-05,3.37131059138942e-05
"301","42","D109",39,32,5.15385581097243e-05,4.22880476797738e-05
"302","43","D101",6,6,2.65248471505683e-05,2.65248471505683e-05
"303","43","D102",11,10,4.86288864427085e-05,4.42080785842805e-05
"304","43","D103",5,5,2.21040392921402e-05,2.21040392921402e-05
"305","43","D104",5,5,2.21040392921402e-05,2.21040392921402e-05
"306","43","D106",2,3,8.8416157168561e-06,1.32624235752841e-05
"307","43","D107",1,1,1.90182516910222e-05,1.90182516910222e-05
"308","43","D109",0,0,0,0
"309","44","D101",31,23,2.33324803179239e-05,1.73111950745887e-05
"310","44","D102",32,33,2.40851409733408e-05,2.48378016287577e-05
"311","44","D103",15,15,1.12899098312535e-05,1.12899098312535e-05
"312","44","D104",59,64,4.4406978669597e-05,4.81702819466815e-05
"313","44","D106",5,6,3.76330327708449e-06,4.51596393250139e-06
"314","44","D107",8,7,2.33001449375231e-05,2.03876268203327e-05
"315","44","D109",31,33,2.33324803179239e-05,2.48378016287577e-05
"316","45","D101",16,13,2.40389310488336e-05,1.95316314771773e-05
"317","45","D102",19,17,2.85462306204899e-05,2.55413642393857e-05
"318","45","D103",5,5,7.5121659527605e-06,7.5121659527605e-06
"319","45","D104",11,11,1.65267650960731e-05,1.65267650960731e-05
"320","45","D106",7,5,1.05170323338647e-05,7.5121659527605e-06
"321","45","D107",5,4,3.00628771153531e-05,2.40503016922825e-05
"322","45","D109",1,0,1.5024331905521e-06,0
"323","46","D101",7,6,4.02859148931272e-05,3.4530784194109e-05
"324","46","D102",8,9,4.60410455921454e-05,5.17961762911636e-05
"325","46","D103",2,2,1.15102613980363e-05,1.15102613980363e-05
"326","46","D104",12,12,6.90615683882181e-05,6.90615683882181e-05
"327","46","D106",4,4,2.30205227960727e-05,2.30205227960727e-05
"328","46","D107",1,1,2.6341361777889e-05,2.6341361777889e-05
"329","46","D109",19,13,0.000109347483281345,7.48166990872363e-05
"330","47","D101",13,7,3.90179482561979e-05,2.1009664445645e-05
"331","47","D102",15,13,4.50207095263822e-05,3.90179482561979e-05
"332","47","D103",3,4,9.00414190527643e-06,1.20055225403686e-05
"333","47","D104",11,10,3.30151869860136e-05,3.00138063509214e-05
"334","47","D106",5,5,1.50069031754607e-05,1.50069031754607e-05
"335","47","D107",4,4,5.32939228081968e-05,5.32939228081968e-05
"336","47","D109",7,7,2.1009664445645e-05,2.1009664445645e-05
"337","48","D101",6,6,7.83218243763625e-05,7.83218243763625e-05
"338","48","D102",8,8,0.000104429099168483,0.000104429099168483
"339","48","D103",3,3,3.91609121881812e-05,3.91609121881812e-05
"340","48","D104",7,9,9.13754617724229e-05,0.000117482736564544
"341","48","D106",1,1,1.30536373960604e-05,1.30536373960604e-05
"342","48","D107",1,1,5.55540756304734e-05,5.55540756304734e-05
"343","48","D109",8,19,0.000104429099168483,0.000248019110525148
"344","49","D101",21,17,2.62437343084339e-05,2.12449277734941e-05
"345","49","D102",26,28,3.24922424771086e-05,3.49916457445785e-05
"346","49","D103",6,8,7.49820980240967e-06,9.99761306987957e-06
"347","49","D104",29,30,3.62413473783134e-05,3.74910490120484e-05
"348","49","D106",4,4,4.99880653493978e-06,4.99880653493978e-06
"349","49","D107",5,5,2.60269155571692e-05,2.60269155571692e-05
"350","49","D109",18,15,2.2494629407229e-05,1.87455245060242e-05
"351","50","D101",15,15,3.00048607874476e-05,3.00048607874476e-05
"352","50","D102",17,19,3.40055088924406e-05,3.80061569974336e-05
"353","50","D103",4,2,8.00129620998602e-06,4.00064810499301e-06
"354","50","D104",36,32,7.20116658898742e-05,6.40103696798881e-05
"355","50","D106",7,7,1.40022683674755e-05,1.40022683674755e-05
"356","50","D107",5,4,4.3136827562965e-05,3.4509462050372e-05
"357","50","D109",91,66,0.000182029488777182,0.000132021387464769
"358","51","D101",14,14,2.45614465990291e-05,2.45614465990291e-05
"359","51","D102",11,14,1.92982794706657e-05,2.45614465990291e-05
"360","51","D103",9,5,1.57895013850901e-05,8.77194521393897e-06
"361","51","D104",23,18,4.03509479841193e-05,3.15790027701803e-05
"362","51","D106",9,9,1.57895013850901e-05,1.57895013850901e-05
"363","51","D107",7,5,5.00935925754716e-05,3.57811375539083e-05
